dcode,bcode,math4,read4,enroll,exppp,free,reduced,lunch,medinc,totchild,married,single,pctsgle,zipcode,lenroll,lexppp,lmedinc
63010,3030,92.800003,82.5,607,6619.54,1,.69999999,1.7,110322,4076,3542,534,13.10108,48009,6.4085288,8.797781,11.611158
63010,3133,100,94.300003,370,6619.54,0,0,0,110322,4076,3542,534,13.10108,48009,5.9135032,8.797781,11.611158
63270,2023,72.099998,46.5,220,5607.5601,5.9000001,5,10.9,65119,2524,2091,433,17.15531,48017,5.3936276,8.6318712,11.083972
63270,2978,76.099998,65.699997,356,5829.5298,8.1000004,2.8,10.9,65119,2524,2091,433,17.15531,48017,5.8749309,8.6706915,11.083972
63010,316,95.199997,80.599998,329,6619.54,.30000001,.30000001,.60000002,109313,3486,3241,245,7.0281124,48025,5.7960577,8.797781,11.601971
63010,5670,88.599998,72.699997,331,6619.54,1.2,.89999998,2.0999999,109313,3486,3241,245,7.0281124,48025,5.8021183,8.797781,11.601971
63010,1494,95.199997,90.5,288,6619.5498,12.2,5.1999998,17.4,109313,3486,3241,245,7.0281124,48025,5.6629605,8.7977829,11.601971
63130,1631,66.699997,46.299999,452,6092.6602,50.200001,17.5,67.699997,43750,4651,3258,1393,29.950546,48030,6.1136823,8.7148399,10.686247
63130,1753,83.900002,44.599998,428,5155.3999,40.200001,10,50.200001,43750,4651,3258,1393,29.950546,48030,6.059123,8.5478001,10.686247
63130,2254,95.699997,56.5,238,6095.71,24.4,17.6,42,43750,4651,3258,1393,29.950546,48030,5.4722705,8.7153406,10.686247
63130,3280,100,90,216,5464.9702,43.5,13.9,57.400002,43750,4651,3258,1393,29.950546,48030,5.3752785,8.6061144,10.686247
63130,4259,93.5,82.599998,364,5132.1802,32.700001,14,46.700001,43750,4651,3258,1393,29.950546,48030,5.8971539,8.5432854,10.686247
63130,4422,90.5,47.599998,577,5183.29,41.900002,19.6,61.5,43750,4651,3258,1393,29.950546,48030,6.3578424,8.553195,10.686247
63060,24,65.599998,41,406,7532.52,28.299999,9.1000004,37.400002,59646,5284,3264,2020,38.228615,48034,6.0063534,8.9269848,10.996182
63060,6032,62.799999,90.699997,303,9013.9697,23.4,5.5999999,29,59646,5284,3264,2020,38.228615,48034,5.7137327,9.1065311,10.996182
63060,2295,70,53.299999,416,6731.6899,33.200001,9.6000004,42.799999,59646,5284,3264,2020,38.228615,48034,6.0306854,8.8145819,10.996182
63040,5105,73.900002,52.200001,152,7113.8398,11.2,5.9000001,17.1,67614,4150,3456,694,16.722893,48067,5.0238805,8.8697977,11.121571
63040,2255,90,75,207,7818.7402,13,0,13,67614,4150,3456,694,16.722893,48067,5.3327188,8.9642792,11.121571
63040,2805,90.699997,67.400002,282,6081.8999,11,5,16,67614,4150,3456,694,16.722893,48067,5.6419072,8.7130728,11.121571
63040,4518,66.099998,62.900002,373,5489.5601,10.2,5.0999999,15.3,67614,4150,3456,694,16.722893,48067,5.9215784,8.6106033,11.121571
63050,464,94.800003,88.300003,525,5154.8799,1.1,.2,1.3,97206,1581,1352,229,14.484504,48070,6.2633982,8.547699,11.484588
63280,1089,88,62,300,5778.8398,8.6999998,5.3000002,14,51364,6047,4832,1215,20.092607,48071,5.7037826,8.6619587,10.846693
63280,1682,80,52,448,5272.6001,34.599998,5.8000002,40.400002,51364,6047,4832,1215,20.092607,48071,6.1047931,8.5702791,10.846693
63280,2168,91.199997,73.5,242,7012.4702,15.7,2.5,18.200001,51364,6047,4832,1215,20.092607,48071,5.4889379,8.8554449,10.846693
63280,3483,92.699997,56.099998,260,6407.1401,15.4,2.3,17.700001,51364,6047,4832,1215,20.092607,48071,5.5606818,8.7651682,10.846693
63140,1083,74.099998,56.599998,249,7721.3901,30.5,8.8000002,39.299999,51364,6047,4832,1215,20.092607,48071,5.5174527,8.9517498,10.846693
63140,1537,89.699997,38.5,292,5737.4302,34.200001,14.4,48.599998,51364,6047,4832,1215,20.092607,48071,5.676754,8.654767,10.846693
63140,4280,86.699997,58.299999,257,5853.7002,28,9.3000002,37.299999,51364,6047,4832,1215,20.092607,48071,5.5490761,8.6748295,10.846693
