wage,abil,educ,ne,nc,west,south,exper,motheduc,fatheduc,brkhme14,sibs,urban,ne18,nc18,south18,west18,urban18,tuit17,tuit18,lwage,expersq,ctuit
12.019231,5.0277381,15,0,0,1,0,9,12,12,0,1,1,1,0,0,0,1,7.5829139,7.2602425,2.4865079,81,-.32267141
8.9126558,2.0371704,13,1,0,0,0,8,12,10,1,4,1,1,0,0,0,1,8.5951443,9.4995365,2.1874723,64,.90439224
15.514334,2.4758952,15,1,0,0,0,11,12,16,0,2,1,1,0,0,0,1,7.3113461,7.3113461,2.7417643,121,0
13.333333,3.6092398,15,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,9.4995365,10.16207,2.5902672,36,.66253376
11.07011,2.6365459,13,1,0,0,0,15,12,15,1,2,1,1,0,0,0,1,7.3113461,7.3113461,2.4042487,225,0
17.482517,3.4743342,18,1,0,0,0,8,12,12,0,2,1,1,0,0,0,1,7.3113461,7.3113461,2.8612013,64,0
21.097046,-1.7648079,13,1,0,0,0,13,13,12,0,5,1,1,0,0,0,1,7.3949065,7.3949065,3.0491331,169,0
11.667099,-.13359827,12,0,0,0,1,14,12,12,1,4,0,1,0,0,0,1,7.3949065,7.3949065,2.4567728,196,0
16.96113,2.0724311,13,1,0,0,0,9,10,12,1,3,1,1,0,0,0,1,6.6411552,5.8513093,2.8309243,81,-.78984594
11.538462,-.33845973,12,1,0,0,0,9,14,12,0,1,1,1,0,0,0,1,5.8513093,6.0533328,2.4456859,81,.20202351
14.814815,1.3807098,12,1,0,0,0,13,9,10,1,2,1,1,0,0,0,1,7.3949065,7.3949065,2.6956277,169,0
20.699173,3.4127986,12,1,0,0,0,14,12,16,0,1,0,1,0,0,0,1,7.3949065,7.3949065,3.0300937,196,0
28.683693,4.3654957,17,0,0,1,0,4,17,16,0,1,1,1,0,0,0,1,5.8513093,6.0533328,3.3563287,16,.20202351
12.5,1.0904464,13,1,0,0,0,8,16,16,0,3,1,1,0,0,0,1,6.0533328,6.1254711,2.5257287,64,.072138309
35.871155,5.0827842,17,1,0,0,0,7,16,18,0,2,1,1,0,0,0,1,7.3949065,7.3949065,3.5799334,49,0
23.403217,2.1290543,16,1,0,0,0,10,5,4,0,2,1,1,0,0,0,1,7.3949065,7.3949065,3.1528735,100,0
16.641453,3.4697685,16,1,0,0,0,10,10,6,0,1,1,1,0,0,0,1,7.3949065,7.3949065,2.8118968,100,0
16.045099,4.2689829,15,1,0,0,0,9,12,9,0,1,1,1,0,0,0,1,7.3949065,6.6411552,2.7754035,81,-.75375128
12.019231,2.4176929,15,1,0,0,0,8,11,9,0,2,1,1,0,0,0,1,6.6411552,5.8513093,2.4865079,64,-.78984594
8.5348511,3.125001,20,1,0,0,0,6,11,8,0,2,1,0,0,0,1,1,7.3949065,7.3949065,2.1441579,36,0
16.153847,4.2366443,14,1,0,0,0,11,10,12,0,2,0,1,0,0,0,1,7.5829139,7.5829139,2.7821581,121,0
14.460897,5.3163571,15,1,0,0,0,8,16,12,0,2,1,1,0,0,0,1,6.6411552,5.8513093,2.6714482,64,-.78984594
19.776119,2.6330404,13,1,0,0,0,13,14,15,0,7,1,1,0,0,0,1,7.3949065,7.3949065,2.9844751,169,0
13.994911,3.046665,16,1,0,0,0,8,13,14,0,3,1,0,0,0,1,1,7.3949065,7.3949065,2.6386938,64,0
17.924528,2.5708303,11,1,0,0,0,12,9,12,0,5,1,1,0,0,0,1,7.3949065,6.6411552,2.8861701,144,-.75375128
11.057693,1.1122352,12,1,0,0,0,8,9,12,0,5,1,1,0,0,0,1,6.0533328,6.1254711,2.4031262,64,.072138309
7.9601989,1.0885288,11,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,6.6411552,5.8513093,2.0744541,121,-.78984594
